Datetime,Temp,Humidity(%),Atmospheric_pressure(Pa),PM_1.0,PM_2.5,PM_10,CPU_temp
2022-12-17 23:59:20,31.77,44.81,100581.83,4.0,4.0,5.0,67.142
2022-12-17 23:59:30,32.09,44.03,100636.07,3.0,4.0,4.0,67.142
2022-12-17 23:59:40,31.54,44.38,100547.59,3.0,4.0,4.0,66.604
2022-12-17 23:59:50,31.86,45.02,100602.81,4.0,5.0,7.0,66.604
2022-12-18 00:00:00,31.95,45.52,100620.5,3.0,5.0,8.0,67.142
2022-12-18 00:00:10,32.0,45.3,100625.81,2.0,4.0,6.0,67.142
2022-12-18 00:00:20,31.56,44.89,100558.11,1.0,2.0,7.0,66.604
2022-12-18 00:00:30,32.07,44.35,100635.68,2.0,3.0,7.0,67.68
2022-12-18 00:00:40,31.56,44.88,100559.31,2.0,3.0,3.0,67.68
2022-12-18 00:00:50,31.94,43.94,100616.47,2.0,2.0,2.0,67.68
2022-12-18 00:01:00,31.58,45.14,100568.02,3.0,3.0,4.0,67.68
2022-12-18 00:01:10,31.71,45.25,100587.71,2.0,3.0,4.0,67.68
2022-12-18 00:01:20,32.13,45.23,100649.52,3.0,3.0,7.0,67.68
2022-12-18 00:01:30,31.83,44.54,100604.06,3.0,3.0,4.0,68.218
2022-12-18 00:01:40,31.57,44.65,100563.5,1.0,2.0,2.0,67.68
2022-12-18 00:01:50,31.52,44.6,100553.76,3.0,4.0,5.0,68.218
2022-12-18 00:02:00,31.47,44.69,100555.53,2.0,3.0,3.0,68.756
2022-12-18 00:02:10,31.56,44.04,100570.63,1.0,1.0,2.0,69.294
2022-12-18 00:02:20,31.5,44.85,100561.8,1.0,2.0,3.0,69.832
2022-12-18 00:02:30,31.95,44.96,100629.95,2.0,3.0,4.0,69.294
2022-12-18 00:02:40,31.67,44.36,100585.44,3.0,3.0,5.0,69.832
2022-12-18 00:02:50,31.53,44.27,100566.19,2.0,2.0,2.0,69.294
2022-12-18 00:03:00,31.51,45.23,100561.81,2.0,3.0,3.0,69.832
