Datetime,Temp,Humidity(%),Atmospheric_pressure(Pa),PM_1.0,PM_2.5,PM_10,CPU_temp
2022-12-15 23:59:20,32.32,56.71,100613.95,73.0,112.0,123.0,61.224
2022-12-15 23:59:30,32.34,55.98,100618.48,73.0,111.0,123.0,60.686
2022-12-15 23:59:40,32.36,56.61,100621.84,75.0,113.0,123.0,61.224
2022-12-15 23:59:50,32.35,56.33,100624.97,73.0,114.0,121.0,60.686
2022-12-15 10:13:00,28.82,57.97,101180.41,34.0,50.0,63.0,54.768
2022-12-15 10:13:10,28.87,58.34,101177.47,34.0,50.0,63.0,54.768
2022-12-15 10:13:20,28.9,57.19,101178.2,34.0,54.0,69.0,55.306
2022-12-15 10:13:30,28.92,57.1,101182.01,34.0,51.0,64.0,55.306
2022-12-15 10:13:40,28.94,57.65,101178.75,33.0,51.0,66.0,54.768
2022-12-15 10:13:50,28.94,57.89,101179.33,34.0,50.0,62.0,55.306
2022-12-15 10:14:00,28.94,57.71,101182.03,33.0,51.0,67.0,55.844
2022-12-15 10:14:30,21.36,99.94,76249.08,0.0,0.0,0.0,55.306
2022-12-15 10:14:40,28.91,58.19,101178.23,34.0,49.0,60.0,54.768
2022-12-15 10:14:50,28.94,57.38,101176.84,34.0,52.0,67.0,54.768
2022-12-15 10:15:00,28.96,57.89,101176.25,34.0,52.0,66.0,55.306
2022-12-15 10:15:10,28.97,57.65,101178.2,35.0,53.0,69.0,55.844
2022-12-15 10:15:20,28.98,57.7,101178.04,33.0,52.0,65.0,54.768
2022-12-15 10:15:30,29.0,57.51,101181.03,34.0,51.0,67.0,55.306
2022-12-15 10:15:40,29.01,57.44,101179.34,35.0,52.0,67.0,54.768
2022-12-15 10:15:50,29.03,58.05,101177.42,33.0,53.0,67.0,55.306
2022-12-15 10:16:00,29.03,57.8,101177.37,32.0,51.0,64.0,55.306
2022-12-15 10:16:10,29.04,57.04,101175.28,33.0,50.0,63.0,54.768
2022-12-15 10:16:20,29.04,56.98,101177.66,32.0,49.0,61.0,55.844
2022-12-15 10:16:30,29.05,57.64,101179.03,34.0,50.0,61.0,54.768
2022-12-15 10:16:40,29.06,57.05,101178.27,32.0,49.0,63.0,55.306
2022-12-15 10:16:50,29.06,58.05,101181.23,34.0,51.0,65.0,54.768
2022-12-15 10:17:00,29.07,57.36,101179.45,32.0,48.0,60.0,55.306
2022-12-15 10:17:10,29.08,56.87,101178.47,33.0,51.0,66.0,55.844
2022-12-15 10:17:20,29.08,58.05,101177.41,33.0,50.0,65.0,55.306
2022-12-15 10:17:30,29.08,57.29,101178.86,33.0,48.0,60.0,54.768
2022-12-15 10:17:40,29.09,57.06,101178.41,32.0,48.0,61.0,55.306
2022-12-15 10:17:50,29.1,58.07,101176.31,32.0,48.0,63.0,54.768
2022-12-15 10:18:00,29.1,57.13,101175.03,33.0,51.0,64.0,55.306
2022-12-15 10:18:10,29.1,57.37,101175.47,33.0,51.0,63.0,55.306
2022-12-15 10:18:20,29.11,57.63,101176.88,33.0,50.0,64.0,55.306
2022-12-15 10:18:30,29.11,57.51,101177.48,33.0,49.0,62.0,55.306
2022-12-15 10:18:40,29.12,56.68,101178.06,33.0,49.0,61.0,55.844
2022-12-15 10:18:50,29.12,57.5,101174.1,33.0,50.0,64.0,55.844
2022-12-15 10:19:00,29.12,57.16,101175.34,33.0,49.0,61.0,55.306
2022-12-15 10:19:10,29.13,56.73,101174.72,32.0,48.0,61.0,55.844
2022-12-15 10:19:20,29.14,57.31,101173.52,32.0,49.0,61.0,55.306
2022-12-15 10:19:30,29.15,57.21,101173.06,34.0,51.0,65.0,55.306
2022-12-15 10:19:40,29.15,56.81,101173.59,32.0,49.0,63.0,55.844
