Datetime,Temp,Humidity(%),Atmospheric_pressure(Pa),PM_1.0,PM_2.5,PM_10,CPU_temp
2022-12-15 23:54:30,32.6,55.19,100545.77,59.0,94.0,108.0,64.99
2022-12-15 23:54:40,32.3,55.17,100503.61,59.0,91.0,106.0,65.528
2022-12-15 23:54:50,32.61,55.76,100552.61,63.0,101.0,123.0,65.528
2022-12-15 23:55:00,32.59,56.02,100553.04,60.0,95.0,115.0,64.99
2022-12-15 23:55:10,32.7,55.34,100568.15,62.0,90.0,105.0,64.99
2022-12-15 23:55:20,32.58,55.24,100555.52,62.0,98.0,113.0,64.452
2022-12-15 23:55:30,32.43,56.0,100536.42,61.0,95.0,105.0,64.99
2022-12-15 23:55:40,32.53,56.12,100549.89,65.0,100.0,118.0,64.99
2022-12-15 23:55:50,32.48,55.37,100548.16,67.0,101.0,117.0,65.528
2022-12-15 23:56:00,32.64,56.14,100564.03,63.0,97.0,105.0,64.452
2022-12-15 23:56:10,32.62,56.13,100569.64,65.0,95.0,102.0,64.99
2022-12-15 23:56:20,32.6,55.96,100567.05,59.0,91.0,101.0,65.528
2022-12-15 23:56:30,32.57,55.08,100566.52,61.0,99.0,111.0,64.99
2022-12-15 23:56:40,32.63,55.42,100570.47,59.0,92.0,107.0,64.452
2022-12-15 23:56:50,32.53,54.84,100554.6,62.0,99.0,120.0,64.99
2022-12-15 23:57:00,32.63,55.83,100568.11,59.0,95.0,112.0,64.99
2022-12-15 23:57:10,32.61,56.1,100564.36,59.0,87.0,100.0,64.99
2022-12-15 23:57:20,32.61,56.2,100563.67,62.0,97.0,111.0,64.452
2022-12-15 23:57:30,32.65,55.91,100565.25,64.0,95.0,107.0,64.452
2022-12-15 23:57:40,32.59,54.91,100559.53,63.0,94.0,111.0,64.99
2022-12-15 23:57:50,32.69,55.98,100569.52,61.0,93.0,107.0,64.99
2022-12-15 23:58:00,32.66,54.85,100555.63,62.0,95.0,107.0,64.452
2022-12-15 23:58:10,32.74,55.92,100565.13,65.0,99.0,117.0,64.99
2022-12-15 23:58:20,32.72,55.42,100567.3,65.0,99.0,114.0,64.99
2022-12-15 23:58:30,32.7,55.66,100568.33,63.0,99.0,113.0,64.452
2022-12-15 23:58:40,32.75,55.44,100573.19,65.0,103.0,121.0,64.452
2022-12-15 23:58:50,32.77,55.16,100574.7,65.0,99.0,115.0,64.452
2022-12-15 23:59:00,32.74,55.34,100573.13,61.0,97.0,107.0,64.99
2022-12-15 23:59:10,32.76,54.48,100572.96,64.0,99.0,113.0,64.452
2022-12-15 23:59:20,32.77,55.27,100572.2,64.0,95.0,111.0,64.99
2022-12-15 23:59:30,32.76,55.09,100571.64,65.0,99.0,109.0,64.99
2022-12-15 23:59:40,32.77,55.25,100570.2,63.0,97.0,107.0,65.528
2022-12-15 23:59:50,32.76,54.51,100573.37,65.0,97.0,109.0,64.452
2022-12-15 00:35:10,27.23,58.38,101050.57,33.0,48.0,62.0,40.242
2022-12-15 00:35:20,27.22,58.59,101049.31,32.0,48.0,59.0,40.78
2022-12-15 00:35:30,27.22,58.36,101048.42,33.0,49.0,62.0,40.78
2022-12-15 00:35:40,27.21,57.82,101050.56,32.0,48.0,63.0,40.78
2022-12-15 00:35:50,27.23,57.98,101049.78,32.0,48.0,62.0,41.856
2022-12-15 00:36:00,27.25,58.71,101047.98,33.0,50.0,65.0,42.394
2022-12-15 00:36:10,27.25,58.86,101048.77,34.0,50.0,62.0,42.394
2022-12-15 00:36:20,27.22,58.06,101048.08,33.0,49.0,62.0,42.394
2022-12-15 00:36:30,27.18,57.88,101050.33,33.0,48.0,60.0,42.932
2022-12-15 00:36:40,27.19,58.4,101048.55,32.0,49.0,63.0,42.932
2022-12-15 00:47:30,27.05,59.34,101035.22,27.0,41.0,52.0,39.704
2022-12-15 00:47:40,27.1,58.37,101037.69,30.0,46.0,61.0,40.242
2022-12-15 00:47:50,27.12,58.72,101037.38,32.0,46.0,60.0,40.78
2022-12-15 00:48:00,27.12,58.98,101034.34,29.0,45.0,57.0,41.318
2022-12-15 00:48:10,27.09,58.23,101037.27,31.0,46.0,54.0,41.856
2022-12-15 00:48:20,27.09,60.04,101037.95,30.0,44.0,53.0,42.394
2022-12-15 00:48:30,27.1,60.17,101035.77,29.0,44.0,54.0,42.394
2022-12-15 00:48:40,27.12,59.54,101038.41,30.0,43.0,56.0,42.394
2022-12-15 00:48:50,27.12,58.42,101037.04,30.0,46.0,59.0,41.856
2022-12-15 00:49:00,27.1,59.31,101034.55,30.0,43.0,55.0,41.856
2022-12-15 00:49:10,27.11,58.12,101035.3,30.0,43.0,54.0,41.856
2022-12-15 00:49:20,27.12,59.79,101034.2,31.0,45.0,55.0,41.856
2022-12-15 00:49:30,27.12,58.93,101036.77,32.0,46.0,56.0,41.856
2022-12-15 00:49:40,27.13,58.45,101037.89,32.0,44.0,55.0,42.394
2022-12-15 00:49:50,27.13,58.14,101036.88,30.0,42.0,51.0,42.932
2022-12-15 00:50:00,27.12,58.44,101036.16,30.0,44.0,56.0,42.932
2022-12-15 00:50:10,27.12,59.5,101035.54,31.0,47.0,62.0,42.932
2022-12-15 00:50:20,27.13,59.44,101037.66,30.0,45.0,57.0,42.932
2022-12-15 00:50:30,27.13,59.2,101036.8,31.0,47.0,57.0,42.932
2022-12-15 00:50:40,27.15,58.45,101036.02,31.0,46.0,56.0,43.47
2022-12-15 00:50:50,27.13,58.79,101035.67,30.0,45.0,57.0,42.932
2022-12-15 00:51:00,27.14,58.8,101038.3,31.0,46.0,58.0,42.932
2022-12-15 00:51:10,27.15,59.14,101037.05,30.0,44.0,57.0,42.932
2022-12-15 00:51:20,27.15,58.44,101037.66,31.0,46.0,56.0,42.932
2022-12-15 00:51:30,27.17,59.27,101036.36,29.0,44.0,55.0,42.932
2022-12-15 00:51:40,27.17,58.14,101034.97,30.0,45.0,57.0,43.47
2022-12-15 00:51:50,27.19,59.73,101037.56,31.0,46.0,56.0,43.47
2022-12-15 00:52:20,27.01,58.73,101028.04,28.0,39.0,46.0,41.856
2022-12-15 00:52:30,27.11,58.98,101034.95,30.0,43.0,53.0,42.394
2022-12-15 00:52:40,27.12,58.57,101035.3,30.0,44.0,56.0,42.394
2022-12-15 00:52:50,27.12,59.28,101037.17,30.0,44.0,61.0,42.932
2022-12-15 00:53:00,27.12,57.86,101036.73,31.0,46.0,57.0,42.932
2022-12-15 00:53:10,27.12,58.08,101037.04,32.0,47.0,60.0,42.932
2022-12-15 00:53:20,27.11,58.96,101034.58,31.0,48.0,59.0,42.932
2022-12-15 00:53:30,27.11,58.62,101036.28,30.0,44.0,54.0,42.932
